Afghanistan,5,0,3,5,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,7,1
Albania,3,0,0,3,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,0,1,0,6,6
Algeria,4,2,0,3,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,4
American-Samoa,6,0,0,5,1,0,1,1,1,0,1,2,0,0,0,0,0,0,1,1,1,0,2,6
Andorra,3,3,0,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6
Angola,4,0,2,3,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,1,0,0,6,7
Anguilla,1,0,1,3,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,4,2
Antigua-Barbuda,1,0,1,5,1,0,1,1,1,1,0,6,0,0,0,0,1,0,1,0,0,0,7,6
Argentina,2,0,3,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2
Argentine,2,0,3,3,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,2
Australia,6,0,0,3,1,0,1,0,1,0,0,2,0,1,1,1,6,0,0,0,0,0,4,2
Austria,3,0,3,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6
Bahamas,1,0,3,3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,2,2
Bahrain,5,0,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,4,6
Bangladesh,5,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Barbados,1,3,0,3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,2
Belgium,3,3,0,3,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7,6
Belize,1,0,2,8,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,1,1,1,6,6
Benin,4,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
